,timestamp,HRR_kWLastMinAve,HRR_kVAR,HRR_kW,primaryLovatoReadings.EqvPowerFactor,primaryLovatoReadings.EqvActivePower,primaryLovatoReadings.EqvReactivePower,primaryLovatoReadings.L1PhaseVoltage,primaryLovatoReadings.L2PhaseVoltage,primaryLovatoReadings.L3PhaseVoltage,HRR_WTCorrectedWindSpeed,primaryLovatoReadings.L1Current,primaryLovatoReadings.L2Current,primaryLovatoReadings.L3Current,HRR_GeneratorWindingTemp,HRR_NacelleAirTemp,HRR_OutsideAirTemp,HRR_GearboxOilTemp
4538,37:16.0,-1.768395948,1.47541066,-1.644468335,0.303226329,-1.562142531,1.469009991,-1.509027269,-1.381033499,-1.52321712,-1.574141801,-1.576473637,-1.570823086,-1.566049492,-1.821212113,-0.62677082,-1.115612869,-1.926792101
4539,37:32.6,-1.798481503,1.47541066,-1.864399119,-2.923085991,-1.858028717,2.138259062,-1.498435771,-1.54694533,-1.781403319,-1.538011928,-1.802228641,-1.752511615,-1.620222747,-1.821212113,-0.677749168,-1.115612869,-1.926792101
4540,37:49.4,-1.798481503,1.06521045,-1.567085282,0.009123459,-1.562142531,1.059543368,-1.50196627,-1.302225379,-1.617554385,-1.393492437,-1.686380678,-1.6571996,-1.65633825,-1.825910776,-0.677749168,-1.115612869,-1.947907067
4541,38:06.3,-1.794183567,1.400828804,-1.681123466,0.221552389,-1.58165151,1.396023493,-1.597289747,-1.472285006,-1.453705451,-1.538011928,-1.74876035,-1.71974811,-1.728569256,-1.821212113,-0.677749168,-1.115612869,-1.947907067
4542,38:23.3,-1.78988563,1.375968185,-1.717778597,0.161351411,-1.707647002,1.377467604,-1.466661279,-1.339555541,-1.309716995,-1.538011928,-1.662616993,-1.651242599,-1.650318999,-1.830609439,-0.677749168,-1.215403154,-1.926792101
4543,38:40.3,-1.764098011,1.164652925,-1.448974305,0.156750062,-1.794624534,1.163456348,-1.272483826,-1.165348119,-1.130972703,-1.42962231,-1.618060085,-1.618479094,-1.620222747,-1.825910776,-0.779705864,-1.165508012,-1.947907067
4544,38:57.5,-1.768395948,1.425689422,-1.685196258,0.109586238,-1.82023007,1.41829056,-1.180690848,-1.028470858,-1.175658776,-1.42962231,-1.523005346,-1.514231577,-1.505856986,-1.830609439,-0.677749168,-1.065717727,-1.905677136
4545,39:40.0,-1.811375313,1.574853135,-1.835889573,-0.431455678,-1.828765248,1.569211792,-1.268953327,-1.157052527,-1.140902942,-1.501882056,-1.588355479,-1.588694089,-1.590126494,-1.830609439,-0.728727516,-1.265298296,-1.947907067
4546,39:57.2,-1.811375313,1.338677257,-1.68926905,-0.066798795,-1.68285434,1.339118766,-1.166568852,-1.045062041,-1.175658776,-1.393492437,-1.537857649,-1.526145579,-1.523914738,-1.825910776,-0.830684212,-1.115612869,-1.947907067
4547,40:14.2,-1.815673249,1.425689422,-1.762579312,-0.099775127,-1.75641945,1.419527619,-1.42076479,-1.260747422,-1.250135564,-1.574141801,-1.781435417,-1.743576114,-1.749636633,-1.830609439,-0.728727516,-1.165508012,-1.905677136
